,acc_precip,mean_temp,mean_relative_hum,mean_wind_speed,mean_radiation
2015-01-02 23:00:00,5.0,6.2,82.6,8.7,1.3
2015-01-03 23:00:00,6.8,3.4,83.5,5.3,1.9
2015-01-04 23:00:00,1.6,2.9,78.9,4.1,2.6
2015-01-05 23:00:00,4.2,4.3,96.9,2.0,0.4
2015-01-06 23:00:00,0.0,3.7,92.8,4.8,0.3
2015-01-07 23:00:00,1.0,3.9,90.3,4.3,2.5
2015-01-08 23:00:00,1.9,5.8,89.8,5.5,1.1
2015-01-09 23:00:00,12.2,5.2,81.2,7.1,1.1
2015-01-10 23:00:00,12.3,6.0,82.0,7.9,0.7
2015-01-11 23:00:00,2.2,3.0,80.7,7.0,2.1
2015-01-12 23:00:00,3.2,6.3,85.1,7.2,0.4
2015-01-13 23:00:00,0.8,4.6,85.1,4.9,0.9
2015-01-14 23:00:00,1.2,1.9,87.9,4.8,1.3
2015-01-15 23:00:00,6.8,4.1,89.5,7.7,0.3
2015-01-16 23:00:00,3.0,4.9,82.6,8.1,2.1
2015-01-17 23:00:00,0.6,2.1,87.0,4.7,3.1
2015-01-18 23:00:00,1.0,1.7,91.4,3.5,1.3
2015-01-19 23:00:00,5.2,0.1,95.6,1.5,0.8
2015-01-20 23:00:00,4.5,0.4,96.1,2.1,1.4
2015-01-21 23:00:00,0.0,-2.6,95.8,1.0,2.8
2015-01-22 23:00:00,0.0,-1.8,97.5,2.0,1.3
2015-01-23 23:00:00,0.0,-3.0,96.9,2.6,2.0
2015-01-24 23:00:00,4.2,-1.1,94.0,4.7,1.9
2015-01-25 23:00:00,0.0,-1.1,93.5,1.8,4.2
2015-01-26 23:00:00,2.4,2.3,96.4,4.1,0.9
2015-01-27 23:00:00,0.0,2.2,85.2,3.5,4.8
2015-01-28 23:00:00,6.6,3.6,92.0,6.7,0.6
2015-01-29 23:00:00,0.7,0.8,89.2,5.1,2.5
2015-01-30 23:00:00,0.2,0.1,87.5,1.4,2.3
2015-01-31 23:00:00,0.0,-0.7,91.9,2.3,2.7
2015-02-01 23:00:00,0.0,0.2,82.0,3.0,3.6
2015-02-02 23:00:00,1.4,-1.3,92.1,2.8,2.2
2015-02-03 23:00:00,0.0,-2.7,86.4,3.2,3.2
2015-02-04 23:00:00,0.0,-3.1,87.3,2.8,2.1
2015-02-05 23:00:00,0.0,-2.2,87.3,2.2,5.2
2015-02-06 23:00:00,0.0,-0.9,91.9,2.8,3.2
2015-02-07 23:00:00,0.0,4.3,78.4,7.0,2.8
2015-02-08 23:00:00,0.6,2.6,68.4,4.8,6.2
2015-02-09 23:00:00,0.0,5.7,83.0,5.4,6.2
2015-02-10 23:00:00,0.0,5.6,84.9,5.2,6.9
2015-02-11 23:00:00,0.0,3.2,86.6,3.2,1.2
2015-02-12 23:00:00,0.0,2.0,89.0,3.0,1.2
2015-02-13 23:00:00,0.0,0.7,93.4,4.0,1.3
2015-02-14 23:00:00,0.0,0.3,95.5,4.6,1.1
2015-02-15 23:00:00,0.0,1.5,88.0,7.4,0.7
2015-02-16 23:00:00,0.0,1.2,86.6,6.9,0.6
2015-02-17 23:00:00,0.0,1.5,91.0,3.8,1.9
2015-02-18 23:00:00,0.0,5.2,83.7,6.2,3.5
2015-02-19 23:00:00,0.0,4.7,86.7,7.6,2.9
2015-02-20 23:00:00,4.7,2.6,92.5,5.1,1.8
2015-02-21 23:00:00,4.8,2.0,95.4,2.3,1.5
2015-02-22 23:00:00,0.0,2.5,86.8,4.3,6.7
2015-02-23 23:00:00,4.7,2.4,86.5,6.8,3.5
2015-02-24 23:00:00,0.7,3.7,87.9,6.3,2.5
2015-02-25 23:00:00,0.2,2.9,89.5,3.7,6.5
2015-02-26 23:00:00,0.0,3.1,88.7,5.1,5.3
2015-02-27 23:00:00,8.9,3.3,90.8,2.4,4.2
2015-02-28 23:00:00,0.0,2.6,82.1,4.5,7.6
2015-03-01 23:00:00,5.2,3.9,87.1,7.3,3.0
2015-03-02 23:00:00,3.8,3.5,88.9,4.4,5.4
2015-03-03 23:00:00,0.2,2.5,84.2,4.6,9.5
2015-03-04 23:00:00,5.6,0.9,93.0,2.8,4.4
2015-03-05 23:00:00,0.0,3.9,84.8,3.6,6.7
2015-03-06 23:00:00,0.0,6.1,91.5,4.4,2.0
2015-03-07 23:00:00,0.0,6.4,80.9,7.1,6.4
2015-03-08 23:00:00,0.0,7.2,84.1,5.6,10.4
2015-03-09 23:00:00,0.0,6.5,79.8,3.5,12.4
2015-03-10 23:00:00,0.6,6.8,76.6,5.2,8.9
2015-03-11 23:00:00,0.0,5.1,71.4,3.7,13.4
2015-03-12 23:00:00,0.0,2.4,84.9,1.8,13.0
2015-03-13 23:00:00,0.0,1.6,80.1,3.7,13.0
2015-03-14 23:00:00,0.0,3.4,69.7,4.8,9.3
2015-03-15 23:00:00,0.0,4.2,80.5,6.2,7.0
2015-03-16 23:00:00,0.0,5.4,85.5,6.3,10.6
2015-03-17 23:00:00,0.0,5.8,82.5,5.4,11.6
2015-03-18 23:00:00,0.0,5.8,78.1,3.3,6.3
2015-03-19 23:00:00,0.0,5.3,69.4,1.7,14.3
2015-03-20 23:00:00,1.7,4.8,86.6,3.7,3.7
2015-03-21 23:00:00,0.6,3.4,77.6,5.7,3.9
2015-03-22 23:00:00,0.0,0.8,61.3,3.3,11.1
2015-03-23 23:00:00,0.0,4.0,75.6,5.7,10.2
2015-03-24 23:00:00,0.1,5.9,87.2,2.3,11.1
2015-03-25 23:00:00,3.7,4.5,90.9,4.1,4.7
2015-03-26 23:00:00,6.9,4.3,86.2,3.5,4.5
2015-03-27 23:00:00,0.2,3.7,83.8,1.4,7.4
2015-03-28 23:00:00,2.5,4.7,83.4,5.2,9.6
